Key,Id,English (New Zealand)(en-NZ),English(en),Latvian(lv),Russian(ru)
"player_name_prompt",35242844160,"Enter your player name. The name can be entered only once and cannot be changed","Enter your player name. The name can be entered only once and cannot be changed","Ierakstiet Jūsu spēlētāja vārdu. Vārdu var ierakstīt tikai vienu reizi un to nevarēs izmainīt","Введите имя игрока. Имя может быть введено только один раз и не может быть изменено"
"player_name_placeholder",503989870592,"Player name","Player name","Spēlētāja vārds","Имя игрока"
"confirm",547321225216,"Confirm","Confirm","Apstiprināt","подтвердить"
"game_name",590149263360,"The Ghost of Jaunpils","The Ghost of Jaunpils","Jaunpils Spoks","Призрак Яунпилс"
"tutorial",5692461359104,"The player's task is to catch the ghost in all the places it appears in the fastest time possible! The location of the ghost can be determined in the castle 3d mode. A ghost can be caught by tapping on it in ghost capture mode.","The player's task is to catch the ghost in all the places it appears in the fastest time possible! The location of the ghost can be determined in the castle 3d mode. A ghost can be caught by tapping on it in ghost capture mode.","Spēlētāja uzdevums ir noķert spoku visās tā parādīšanās vietās pēc iespējas ātrākā laikā! Spoka atrašanās vietu var noteikt pils 3D režīmā. Spoku var noķert uzspiežot uz tā spoku ķeršanas režīmā","Задача игрока — поймать призрака во всех местах, где он появляется, за максимально короткое время! Местонахождение призрака можно определить в режиме замка 3d. Призрака можно поймать, нажав на него в режиме захвата."
"intro",5767019307008,"Jaunpils Castle is an ancient Livonian Order castle, built in 1301. The castle has been burned down and rebuilt many times. Over the centuries, numerous castle legends and tales have accumulated. One of the most famous ones is that of baron Matiass fon der Reke, who ruled in the age of chivalry. When the baron died, old folks used to tell stories that his spirit wandered through the castle, as during his lifetime, he was fierce and ruthless, so his soul knows no rest.","Jaunpils Castle is an ancient Livonian Order castle, built in 1301. The castle has been burned down and rebuilt many times. Over the centuries, numerous castle legends and tales have accumulated. One of the most famous ones is that of baron Matiass fon der Reke, who ruled in the age of chivalry. When the baron died, old folks used to tell stories that his spirit wandered through the castle, as during his lifetime, he was fierce and ruthless, so his soul knows no rest.","Jaunpils Pils - sena Livonijas ordeņa pils, celta 1301. gadā. Visā tās pastāvēšanas laikā pils ir vairākas reizes nodedzināta līdz pamatiem un celta no jauna. Gadsimtiem ejot par pili ir klīdušas daudz teikas un leģendas. Viens no slavenākajiem pils viduslaiku īpašniekiem ir bijis barons Matiass fon der Reke, kurš izcēlies ar īpašu ļaunumu un nežēlību. Vecie ļaudis stāsta, ka, dēļ tā, viņa dvēsele vēl jo projām nevar atrast mieru un klīst pa pili.","Замок Яунпилс — старинный замок Ливонского ордена, построенный в 1301 году. За время своего существования замок несколько раз сжигался дотла и перестраивался. На протяжении веков о замке ходило множество сказок и легенд. Одним из самых известных владельцев замка в Средние века был барон Матиас фон дер Реке, выделявшийся особой злобой и жестокостью. Старики говорят, что из-за этого его душа до сих пор не может найти покоя и бродит по замку."
"first_floor",5817199960064,"1st floor","1st floor","1. stāvs","1-й этаж"
"second_floor",5867019902976,"2nd floor","2nd floor","2. stāvs","2-й этаж"
"third_floor",5916751765504,"3rd floor","3rd floor","3. stāvs","3-й этаж"
"roof",5963019132928,"Castle roof","Castle roof","Pils jumts","Крыша замка"
